[1/29 22:26:08] Players: 8, RAMused: 80.14 MB
[1/29 22:23:08] Players: 7, RAMused: 79.4 MB
[1/29 22:20:08] Players: 7, RAMused: 80.82 MB
[1/29 22:17:08] Players: 7, RAMused: 80.25 MB
[1/29 22:14:08] Players: 6, RAMused: 81.08 MB
[1/29 22:11:08] Players: 5, RAMused: 80.23 MB
[1/29 22:08:08] Players: 5, RAMused: 81.04 MB
[1/29 22:05:08] Players: 4, RAMused: 80.88 MB
[1/29 22:02:08] Players: 7, RAMused: 80.32 MB
[1/29 21:59:08] Players: 9, RAMused: 79.51 MB
[1/29 21:56:08] Players: 7, RAMused: 79.23 MB
[1/29 21:53:08] Players: 6, RAMused: 79.87 MB
[1/29 21:50:08] Players: 6, RAMused: 78.55 MB
[1/29 21:47:08] Players: 6, RAMused: 78.25 MB
[1/29 21:44:08] Players: 6, RAMused: 76.27 MB
[1/29 21:41:08] Players: 6, RAMused: 76.08 MB
[1/29 21:38:08] Players: 6, RAMused: 75.09 MB
[1/29 21:35:08] Players: 6, RAMused: 74.75 MB
[1/29 21:32:08] Players: 6, RAMused: 78.06 MB
[1/29 21:29:08] Players: 6, RAMused: 77.45 MB
[1/29 21:26:08] Players: 9, RAMused: 77.25 MB
[1/29 21:23:08] Players: 9, RAMused: 77.07 MB
[1/29 21:20:08] Players: 9, RAMused: 77.88 MB
[1/29 21:17:08] Players: 8, RAMused: 76.98 MB
[1/29 21:14:08] Players: 8, RAMused: 76.89 MB
[1/29 21:11:08] Players: 8, RAMused: 76.36 MB
[1/29 21:08:08] Players: 7, RAMused: 76.51 MB
[1/29 21:05:08] Players: 8, RAMused: 76.11 MB
[1/29 21:02:08] Players: 9, RAMused: 76.29 MB
[1/29 20:59:08] Players: 9, RAMused: 75.92 MB
[1/29 20:56:08] Players: 8, RAMused: 75.03 MB
[1/29 20:53:08] Players: 8, RAMused: 75.26 MB
[1/29 20:50:08] Players: 8, RAMused: 75.07 MB
[1/29 20:47:08] Players: 7, RAMused: 75.13 MB
[1/29 20:44:08] Players: 7, RAMused: 74.05 MB
[1/29 20:41:08] Players: 8, RAMused: 73.75 MB
[1/29 20:38:08] Players: 10, RAMused: 73.8 MB
[1/29 20:35:08] Players: 8, RAMused: 73.5 MB
[1/29 20:32:08] Players: 8, RAMused: 73.45 MB
[1/29 20:29:08] Players: 9, RAMused: 72.45 MB
[1/29 20:26:08] Players: 7, RAMused: 72.57 MB
[1/29 20:23:08] Players: 7, RAMused: 72.13 MB
[1/29 20:20:08] Players: 8, RAMused: 72.68 MB
[1/29 20:17:08] Players: 6, RAMused: 72.34 MB
[1/29 20:14:16] Players: 7, RAMused: 71.24 MB
[1/29 20:11:08] Players: 7, RAMused: 70.68 MB
[1/29 20:08:08] Players: 7, RAMused: 69.98 MB
[1/29 20:05:08] Players: 7, RAMused: 68.88 MB
[1/29 20:02:08] Players: 8, RAMused: 68.62 MB
[1/29 19:59:08] Players: 8, RAMused: 67.79 MB
[1/29 19:56:08] Players: 9, RAMused: 67.04 MB
[1/29 19:53:08] Players: 9, RAMused: 64.98 MB
[1/29 19:50:08] Players: 9, RAMused: 64.41 MB
[1/29 19:47:08] Players: 8, RAMused: 62.99 MB
[1/29 19:44:08] Players: 9, RAMused: 60.82 MB
[1/29 19:41:09] Players: 8, RAMused: 58.57 MB
[1/29 19:38:08] Players: 5, RAMused: 56.29 MB
[1/29 19:35:08] Players: 6, RAMused: 53.88 MB
[1/29 19:29:43] Players: 7, RAMused: 69.39 MB
[1/29 19:26:43] Players: 7, RAMused: 69.89 MB
[1/29 19:23:43] Players: 8, RAMused: 69.3 MB
[1/29 19:20:43] Players: 9, RAMused: 69.13 MB
[1/29 19:17:43] Players: 11, RAMused: 66.86 MB
[1/29 19:14:43] Players: 12, RAMused: 65.43 MB
[1/29 19:11:43] Players: 12, RAMused: 64.25 MB
[1/29 19:08:43] Players: 12, RAMused: 62.56 MB
